HomePlanet,CryoSleep,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,group,Age_norm,RoomService_norm,FoodCourt_norm,ShoppingMall_norm,Spa_norm,VRDeck_norm,Transported
1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1,0.7093725781522524,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,False
0.0,0.0,24.0,109.0,9.0,25.0,549.0,44.0,2,-0.3363738074169831,-0.17520960060370322,-0.281278597643436,-0.24898888682055306,0.2116202316347323,-0.2293220350437802,True
1.0,0.0,58.0,43.0,3576.0,0.0,6715.0,49.0,3,2.0339846665399506,-0.2752454269631607,1.9543867836659492,-0.2908364166720504,5.691115213808589,-0.2249109228672504,False
1.0,0.0,33.0,0.0,1283.0,371.0,3329.0,193.0,3,0.29107402392455817,-0.340420283530686,0.5172180930737372,0.3301809263241705,2.682102886588239,-0.09787089218319185,False
0.0,0.0,16.0,303.0,70.0,151.0,565.0,2.0,4,-0.8941052130539087,0.11883510111955052,-0.24304602454002344,-0.03807733636900631,0.22583883684309777,-0.26637537732663064,True
0.0,0.0,44.0,0.0,483.0,0.0,291.0,0.0,5,1.057954706675331,-0.340420283530686,0.015807298274884328,-0.2908364166720504,-0.01765477735016151,-0.26813982219724253,True
0.0,0.0,26.0,42.0,1539.0,3.0,0.0,0.0,6,-0.19694095600775172,-0.2767611213019403,0.6776695474093701,-0.2858147130898707,-0.27625565957730913,-0.26813982219724253,True
0.0,1.0,28.0,0.0,0.0,0.0,0.0,212.96594922826,6,-0.05750810459852031,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.08025648383184113,True
0.0,0.0,35.0,0.0,785.0,17.0,216.0,0.0,7,0.43050687533378956,-0.340420283530686,0.2050898733114513,-0.2623800963730322,-0.08430448926437482,-0.26813982219724253,True
1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,8,-1.03353806446314,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
1.0,1.0,34.0,0.0,0.0,165.06994441615458,0.0,0.0,8,0.3607904496291739,-0.340420283530686,-0.2869194690849231,-0.014525639610448804,-0.27625565957730913,-0.26813982219724253,True
1.0,0.0,45.0,39.0,7295.0,589.0,110.0,124.0,8,1.1276711323799467,-0.2813082043182793,4.285320215987116,0.6950913866292275,-0.1785027487697963,-0.15874424021930322,True
2.0,0.0,32.0,73.0,0.0,1123.0,0.0,113.0,9,0.2213575982199425,-0.2297745967997709,-0.2869194690849231,1.5889546242572112,-0.27625565957730913,-0.16844868700766882,True
0.0,0.0,48.0,719.0,1.0,65.0,0.0,24.0,10,1.3368204094937937,0.7493639460518885,-0.2862927055914245,-0.18203283905815726,-0.27625565957730913,-0.24696648374989943,False
0.0,0.0,28.0,8.0,974.0,12.0,2.0,7.0,11,-0.05750810459852031,-0.3282947288204487,0.3235481735826803,-0.2707496023433317,-0.2744783339262635,-0.2619642651501008,True
0.0,0.0,31.0,32.0,0.0,876.0,0.0,0.0,12,0.1516411725153268,-0.2919180646897369,-0.2869194690849231,1.1755010293244172,-0.27625565957730913,-0.26813982219724253,False
2.0,0.0,27.0,1286.0,122.0,218.62534227858742,0.0,0.0,14,-0.12722453030313602,1.6087626361399547,-0.210454322878098,0.07512080481983026,-0.27625565957730913,-0.26813982219724253,False
0.0,0.0,24.0,0.0,1.0,0.0,0.0,637.0,15,-0.3363738074169831,-0.340420283530686,-0.2862927055914245,-0.2908364166720504,-0.27625565957730913,0.2938358690926553,False
2.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,16,1.1276711323799467,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,-2.00956802432776,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
0.0,0.0,14.0,412.0,0.0,1.0,0.0,679.0,17,-1.03353806446314,0.2840457840465333,-0.2869194690849231,-0.28916251547799054,-0.27625565957730913,0.3308892113755057,False
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20,-1.9398515986231442,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,False
0.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,20,1.4065368351984093,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,False
0.0,1.0,29.0,0.0,0.0,165.0537004505813,0.0,0.0,20,0.01220832110609539,-0.340420283530686,-0.2869194690849231,-0.01455283040381821,-0.27625565957730913,-0.26813982219724253,False
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20,-1.312403767281603,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
0.0,1.0,1.0,140.67164249518544,0.0,0.0,0.0,0.0,20,-1.9398515986231442,-0.1272050713738974,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,False
0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,20,-1.52155304439545,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,False
2.0,0.0,21.0,980.0,2.0,69.0,0.0,0.0,22,-0.5455230845308302,1.1449601684733794,-0.28566594209792595,-0.1753372342819177,-0.27625565957730913,-0.26813982219724253,False
1.0,1.0,62.0,0.0,0.0,165.16091062336503,0.0,0.0,24,2.3128503693584133,-0.340420283530686,-0.2869194690849231,-0.014373371167580145,-0.27625565957730913,-0.26813982219724253,True
0.0,0.0,15.0,0.0,225.0,0.0,998.0,0.0,25,-0.9638216387585244,-0.340420283530686,-0.14589768304774572,-0.2908364166720504,0.6106298402944893,-0.26813982219724253,False
1.0,0.0,34.0,22.0,6073.0,0.0,1438.0,328.0,26,0.3607904496291739,-0.3070750080775335,3.5194152269318684,-0.2908364166720504,1.0016414835245406,0.02122913658311303,False
2.0,0.0,43.0,1125.0,0.0,136.0,48.0,0.0,28,0.9882382809707152,1.3647358475964297,-0.2869194690849231,-0.06318585427990474,-0.23359984395221264,-0.26813982219724253,False
0.0,0.0,32.0,0.0,850.0,81.0,437.0,453.0,30,0.2213575982199425,-0.340420283530686,0.24582950038885806,-0.15525041995319894,0.11208999517617374,0.1315069409963583,False
2.0,0.0,47.0,214.0,0.0,1411.0,0.0,1229.0,31,1.267103983789178,-0.016061695031839074,-0.2869194690849231,2.071038168146461,-0.27625565957730913,0.8161115507937848,True
2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,31,-1.8701351729185285,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
2.0,0.0,20.0,303.37193243720003,0.0,1750.0,990.0,0.0,31,-0.6152395102354459,0.11939883700902314,-0.2869194690849231,2.6384906729327655,0.6035205376903066,-0.26813982219724253,True
1.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,34,-0.05750810459852031,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
2.0,0.0,23.0,784.0,964.0,0.0,951.0,0.0,35,-0.4060902331215988,0.8478840780725663,0.3172805386476946,-0.2908364166720504,0.5688626874949156,-0.26813982219724253,False
0.0,0.0,15.0,0.0,492.0,48.0,20.0,401.0,36,-0.9638216387585244,-0.340420283530686,0.021448169716371424,-0.21048915935717546,-0.2584824030668523,0.08563137436044826,False
0.0,0.0,20.0,554.0,195.0,0.0,2606.0,0.0,38,-0.6152395102354459,0.4992743801532448,-0.1647005878527027,-0.2908364166720504,2.0395996637352227,-0.26813982219724253,False
0.0,1.0,30.0,0.0,0.0,165.05694924369595,0.0,0.0,39,0.08192474681071109,-0.340420283530686,-0.2869194690849231,-0.01454739224514432,-0.27625565957730913,-0.26813982219724253,False
0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,41,-0.824388787349293,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
1.0,0.0,45.0,0.0,164.0,45.0,2511.0,855.0,43,1.1276711323799467,-0.340420283530686,-0.18413025615115824,-0.21551086293935515,1.9551766953105525,0.48616035998935503,False
0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,44,1.8248353894261036,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,False
0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,44,-1.7307023215092971,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,44,-0.5455230845308302,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
2.0,0.0,21.0,970.0,0.0,180.0,0.0,64.0,45,-0.5455230845308302,1.1298032250855827,-0.2869194690849231,0.010465798258730636,-0.27625565957730913,-0.21167758633766096,False
2.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,45,-0.6849559359400617,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
0.0,0.0,35.0,790.0,0.0,0.0,262.3875076017093,0.0,50,0.43050687533378956,0.8569782441052443,-0.2869194690849231,-0.2908364166720504,-0.04308163569007745,-0.26813982219724253,False
0.0,0.0,56.0,0.0,112.0,0.0,1379.0,127.0,51,1.8945518151307192,-0.340420283530686,-0.21672195781308368,-0.2908364166720504,0.9492103768186929,-0.15609757291338536,False
0.0,0.0,32.86886549214379,4.0,0.0,2.0,4683.0,0.0,52,0.2819317947502894,-0.33435750617556736,-0.2869194690849231,-0.28748861428393063,3.88535235234617,-0.26813982219724253,False
0.0,0.0,25.0,0.0,0.0,1938.0,0.0,1.0,53,-0.2666573817123674,-0.340420283530686,-0.2869194690849231,2.9531840974160257,-0.27625565957730913,-0.2672575997619366,True
1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,56,-1.8701351729185285,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
1.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,56,0.6396561524476366,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
1.0,0.0,27.0,279.0,605.0,3374.0,286.0,3.0,56,-0.12722453030313602,0.08245843698883873,0.09227244448170939,5.3569062120860345,-0.022098091477775732,-0.26549315489132463,True
0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,58,0.5002233010384053,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,False
0.0,0.0,22.0,45.0,1096.0,148.0,1377.0,1.0,61,-0.4758066588262145,-0.27221403828560137,0.40001331978950533,-0.043099039951186,0.9474330511676472,-0.2672575997619366,False
0.0,0.0,62.0,0.0,592.0,0.0,17.0,25.0,62,2.3128503693584133,-0.340420283530686,0.08412451906622803,-0.2908364166720504,-0.2611483915434208,-0.2460842613145935,False
2.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,64,-0.9638216387585244,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
0.0,1.0,33.0,0.0,0.0,165.06669562303995,0.0,0.0,64,0.29107402392455817,-0.340420283530686,-0.2869194690849231,-0.014531077769122647,-0.27625565957730913,-0.26813982219724253,True
0.0,0.0,62.0,1.0,153.0,197.0,0.0,460.0,66,2.3128503693584133,-0.3389045891919063,-0.19102465457964246,0.038922118557748846,-0.27625565957730913,0.13768249804350002,False
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67,-2.00956802432776,-0.340420283530686,-0.2869194690849231,-0.2908364166720504,-0.27625565957730913,-0.26813982219724253,True
0.0,0.0,18.0,1.0,258.0,446.0,0.0,0.0,67,-0.7546723616446773,-0.3389045891919063,-0.12521448776229305,0.4557235158786626,-0.27625565957730913,-0.26813982219724253,True
0.0,0.0,21.0,1946.0,37.0,0.0,0.0,24.0,67,-0.5455230845308302,2.6091208997345294,-0.26372921982547615,-0.2908364166720504,-0.27625565957730913,-0.24696648374989943,False
2.0,0.0,28.81314394617945,793.0,0.0,2.0,253.0,0.0,68,-0.0008186150875425582,0.8615253271215833,-0.2869194690849231,-0.28748861428393063,-0.05142396472002959,-0.26813982219724253,False
0.0,0.0,42.0,887.0,0.0,9.0,6.0,0.0,69,0.9185218552660995,1.004000594966871,-0.2869194690849231,-0.27577130592551136,-0.2709236826241721,-0.26813982219724253,True
0.0,0.0,19.0,190.0,0.0,5.0,1.0,726.0,70,-0.6849559359400617,-0.05243835916255088,-0.2869194690849231,-0.28246691070175095,-0.27536699675178633,0.37235366583488594,False
0.0,0.0,17.0,16.0,2165.0,0.0,0.0,52.0,71,-0.824388787349293,-0.31616917411021145,1.0700234943394724,-0.2908364166720504,-0.27625565957730913,-0.2222642555613325,False
0.0,0.0,14.0,0.0,1.0,0.0,0.0,1063.0,72,-1.03353806446314,-0.340420283530686,-0.2862927055914245,-0.2908364166720504,-0.27625565957730913,0.6696626265329951,False
